priority,candidate_id,candidate_type,research_question,why_it_matters,suggested_next_data_source
1,HEF_0011,high_energy_fireball_window,Do the events in HEF_0011 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
2,HEF_0011,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
3,HEF_0097,high_energy_fireball_window,Do the events in HEF_0097 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
4,HEF_0097,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
5,HEF_0055,high_energy_fireball_window,Do the events in HEF_0055 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
6,HEF_0055,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
7,HEF_0125,high_energy_fireball_window,Do the events in HEF_0125 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
8,HEF_0125,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
9,HEF_0013,high_energy_fireball_window,Do the events in HEF_0013 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
10,HEF_0013,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
11,HEF_0081,high_energy_fireball_window,Do the events in HEF_0081 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
12,HEF_0081,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
13,HEF_0140,high_energy_fireball_window,Do the events in HEF_0140 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
14,HEF_0140,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
15,HEF_0093,high_energy_fireball_window,Do the events in HEF_0093 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
16,HEF_0093,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
17,HEF_0036,high_energy_fireball_window,Do the events in HEF_0036 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
18,HEF_0036,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
19,HEF_0148,high_energy_fireball_window,Do the events in HEF_0148 line up with a known meteor stream?,This tests whether a clustered high-energy window has a plausible parent stream.,IAU Meteor Data Center / CNEOS Fireball API
20,HEF_0148,high_energy_fireball_window,Is the window dominated by one event or multiple comparable events?,This distinguishes a true cluster from a single outlier.,largest_fireballs.csv and high_energy_fireball_windows.csv
